sensor,n_points,centroid_lat,centroid_lon,max_brightness,sum_frp,max_frp,earliest_detection,latest_detection,duration_hours,centroid_area_label,dataset,region,month
modis,3,45.72533333333333,34.60183333333333,321.4,103.1,46.8,2022-10-08 09:04:00,2022-10-08 10:23:00,1.3166666666666669,Crimea,clstrd_20221001_180d_ukraine,Crimea,2022-10-01
viirs,4,48.514865,33.8202775,,102.92,25.73,2022-10-31 11:30:00,2022-10-31 11:30:00,0.0,Dnipropetrovs'k,clstrd_20221001_180d_ukraine,Dnipropetrovs'k,2022-10-01
viirs,5,38.330158,40.355254,,102.04,35.7,2025-07-19 09:21:00,2025-07-19 09:21:00,0.0,Diyarbakir,clstrd_20250625_35d_turkey,Diyarbakir,2025-07-01
viirs,8,47.5347825,36.6159,,101.91,26.2,2023-03-06 09:38:00,2023-03-06 10:26:00,0.8,Zaporizhia,clstrd_20221001_180d_ukraine,Zaporizhia,2023-03-01
modis,3,47.74243333333334,33.227,339.9,101.8,43.2,2023-03-10 10:48:00,2023-03-10 10:48:00,0.0,Dnipropetrovs'k,clstrd_20221001_180d_ukraine,Dnipropetrovs'k,2023-03-01
viirs,2,38.034490000000005,40.201005,,101.26,66.77,2025-07-03 09:20:00,2025-07-03 09:20:00,0.0,Diyarbakir,clstrd_20250625_35d_turkey,Diyarbakir,2025-07-01
viirs,5,47.891814,38.24725,,101.1,37.57,2023-03-23 11:00:00,2023-03-23 11:00:00,0.0,Donets'k,clstrd_20221001_180d_ukraine,Donets'k,2023-03-01
viirs,5,37.12846800000001,40.24641,,98.8,25.28,2025-07-19 09:20:00,2025-07-19 09:20:00,0.0,Mardin,clstrd_20250625_35d_turkey,Mardin,2025-07-01
viirs,6,48.37966666666666,39.31668166666667,,97.32,22.27,2022-12-06 10:13:00,2022-12-06 11:05:00,0.8666666666666667,Luhans'k,clstrd_20221001_180d_ukraine,Luhans'k,2022-12-01
viirs,3,49.62258666666667,31.746406666666672,,96.78,49.67,2023-02-15 11:23:00,2023-02-15 11:23:00,0.0,Cherkasy,clstrd_20221001_180d_ukraine,Cherkasy,2023-02-01
viirs,4,47.42455,34.2953775,,96.2,58.45,2023-03-04 11:04:00,2023-03-04 11:04:00,0.0,Zaporizhia,clstrd_20221001_180d_ukraine,Zaporizhia,2023-03-01
modis,2,45.12819999999999,35.090500000000006,350.3,96.0,66.2,2023-01-03 08:28:00,2023-01-03 08:28:00,0.0,Crimea,clstrd_20221001_180d_ukraine,Crimea,2023-01-01
viirs,4,41.230405,27.7094775,,95.6,42.14,2025-07-11 11:30:00,2025-07-11 11:53:00,0.3833333333333333,Tekirdag,clstrd_20250625_35d_turkey,Tekirdag,2025-07-01
viirs,2,48.36480999999999,31.17769,,95.23,50.38,2022-10-17 10:52:00,2022-10-17 10:52:00,0.0,Kirovohrad,clstrd_20221001_180d_ukraine,Kirovohrad,2022-10-01
viirs,17,36.21500117647059,32.52116823529412,,94.75,6.46,2025-07-25 22:46:00,2025-07-26 00:27:00,1.6833333333333331,Antalya,clstrd_20250625_35d_turkey,Antalya,2025-07-01
viirs,5,41.425702,27.277046,,94.35,39.86,2025-07-12 11:11:00,2025-07-12 11:34:00,0.3833333333333333,Kirklareli,clstrd_20250625_35d_turkey,Kirklareli,2025-07-01
viirs,5,37.09408199999999,29.096806,,94.21,24.46,2025-07-25 12:06:00,2025-07-25 12:06:00,0.0,Denizli,clstrd_20250625_35d_turkey,Denizli,2025-07-01
viirs,8,39.52806875,44.40915625,,93.73,17.29,2025-07-28 09:29:00,2025-07-28 09:29:00,0.0,Agri,clstrd_20250625_35d_turkey,Agri,2025-07-01
viirs,4,38.119155,40.174795,,93.6,30.29,2025-07-04 10:42:00,2025-07-04 10:42:00,0.0,Diyarbakir,clstrd_20250625_35d_turkey,Diyarbakir,2025-07-01
viirs,2,47.35906499999999,31.614735,,93.42,46.71,2023-02-11 10:58:00,2023-02-11 10:58:00,0.0,Mykolayiv,clstrd_20221001_180d_ukraine,Mykolayiv,2023-02-01
viirs,6,39.60209666666666,27.199395,,93.4,21.44,2025-06-28 10:33:00,2025-06-28 12:13:00,1.6666666666666667,Balikesir,clstrd_20250625_35d_turkey,Balikesir,2025-06-01
viirs,3,47.72220333333333,37.21273333333333,,93.4,31.7,2022-10-22 10:58:00,2022-10-22 10:58:00,0.0,Donets'k,clstrd_20221001_180d_ukraine,Donets'k,2022-10-01
viirs,4,37.360945,36.634265000000006,,93.14,42.23,2025-07-27 09:48:00,2025-07-27 10:11:00,0.3833333333333333,K. Maras,clstrd_20250625_35d_turkey,K. Maras,2025-07-01
viirs,7,49.153380000000006,34.63525428571428,,92.4,17.5,2023-03-22 10:27:00,2023-03-22 11:19:00,0.8666666666666667,Poltava,clstrd_20221001_180d_ukraine,Poltava,2023-03-01
viirs,8,38.611185000000006,31.16693625,,91.65,16.96,2025-06-30 10:17:00,2025-06-30 11:58:00,1.6833333333333331,Afyon,clstrd_20250625_35d_turkey,Afyon,2025-06-01
viirs,9,47.87484666666667,35.15397777777778,,90.35,13.33,2022-10-06 22:23:00,2022-10-07 00:52:00,2.4833333333333334,Zaporizhia,clstrd_20221001_180d_ukraine,Zaporizhia,2022-10-01
modis,2,47.9045,39.27875,348.2,89.3,67.3,2023-03-14 10:21:00,2023-03-14 10:21:00,0.0,Luhans'k,clstrd_20221001_180d_ukraine,Luhans'k,2023-03-01
modis,2,37.49235,42.0384,352.6,89.2,52.2,2025-07-05 11:37:00,2025-07-05 11:37:00,0.0,Sirnak,clstrd_20250625_35d_turkey,Sirnak,2025-07-01
viirs,3,41.94750666666667,26.58945,,89.16,40.53,2025-07-27 10:12:00,2025-07-27 11:53:00,1.6833333333333331,Edirne,clstrd_20250625_35d_turkey,Edirne,2025-07-01
viirs,5,37.464524,27.524972,,89.07999999999998,21.72,2025-07-04 12:00:00,2025-07-04 12:00:00,0.0,Mugla,clstrd_20250625_35d_turkey,Mugla,2025-07-01
viirs,4,41.51467,26.9610075,,88.88,22.22,2025-07-16 11:36:00,2025-07-16 11:36:00,0.0,Edirne,clstrd_20250625_35d_turkey,Edirne,2025-07-01
viirs,5,50.579464,31.207332,,88.69,20.18,2023-03-02 11:43:00,2023-03-02 11:43:00,0.0,Chernihiv,clstrd_20221001_180d_ukraine,Chernihiv,2023-03-01
modis,2,40.016850000000005,32.7469,337.8,85.1,57.3,2025-07-20 08:00:00,2025-07-20 08:00:00,0.0,Ankara,clstrd_20250625_35d_turkey,Ankara,2025-07-01
viirs,4,48.1746225,39.7502075,,84.41,32.43,2023-03-24 09:01:00,2023-03-24 10:41:00,1.6666666666666667,Luhans'k,clstrd_20221001_180d_ukraine,Luhans'k,2023-03-01
modis,2,47.921600000000005,39.18355,320.7,84.4,45.6,2023-03-22 11:04:00,2023-03-22 11:04:00,0.0,Luhans'k,clstrd_20221001_180d_ukraine,Luhans'k,2023-03-01
viirs,4,39.17777499999999,30.4977175,,83.38,27.78,2025-07-23 00:05:00,2025-07-23 00:05:00,0.0,Afyon,clstrd_20250625_35d_turkey,Afyon,2025-07-01
